QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
69,9537,Tubular,2293,200206010000239,SCRAP,Estrela.DaMorte,10.0,Son.Goku,01/11/2022,11:12:55,Kerri.Green,01/11/2022,14:35:51,Aprovado
70,9538,Shaolin.Monks,2289,2003180099N0756,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,8.0,Android.18,01/11/2022,11:54:52,Luke.Skywalker,04/11/2022,09:50:02,Aprovado
71,9539,Shaolin.Monks,2289,2003180099N0756,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,8.0,Android.18,01/11/2022,12:01:09,Luke.Skywalker,04/11/2022,09:50:04,Aprovado
72,9549,Shaolin.Monks,2323,2003180000N0423,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,17.0,Android.18,01/11/2022,13:28:18,Luke.Skywalker,04/11/2022,09:50:07,Aprovado
73,9562,Shaolin.Monks,2289,20010101CAD0123,TRILHA_ROMPIDA,Estrela.DaMorte,1.0,Android.18,01/11/2022,14:57:48,Luke.Skywalker,04/11/2022,09:50:09,Aprovado
74,9563,Shaolin.Monks,2289,200206010000160,FALHA_NA_VOLTAGEM_DA_BATERIA,Fornecedor,2.0,Android.18,01/11/2022,15:02:06,Luke.Skywalker,04/11/2022,09:50:12,Aprovado
75,9564,Shaolin.Monks,2289,300100990001663,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Android.18,01/11/2022,15:03:01,Luke.Skywalker,04/11/2022,09:50:13,Aprovado
76,9565,Shaolin.Monks,2289,200209030000564,VISOR_COM_IMPUREZA,Fornecedor,1.0,Android.18,01/11/2022,15:03:53,Luke.Skywalker,04/11/2022,09:50:14,Aprovado
77,9566,"Roys,Castle",2293,502200000000004,ERRO_LEITURA_CARTÃO_MAG.(MSR),Fornecedor,4.0,Arlequina.Coringa,01/11/2022,15:33:11,Kerri.Green,01/11/2022,15:49:34,Aprovado
78,9567,"Roys,Castle",2293,300100030000139,MOUSE_NÃO_ATUA,Fornecedor,7.0,Arlequina.Coringa,01/11/2022,15:34:09,Kerri.Green,01/11/2022,15:49:31,Aprovado
79,9568,"Roys,Castle",2293,20010117CAD0004,RF_NÃO_ATUA(PICCOPEN),Estrela.DaMorte,5.0,Arlequina.Coringa,01/11/2022,15:34:50,Kerri.Green,01/11/2022,15:49:40,Aprovado
80,9569,"Roys,Castle",2293,501400000000038,IMAGEM_ANORMAL,Fornecedor,4.0,Arlequina.Coringa,01/11/2022,15:35:33,Kerri.Green,01/11/2022,15:49:44,Aprovado
81,9570,"Roys,Castle",2293,501400000000038,IMAGEM_ANORMAL,Fornecedor,5.0,Arlequina.Coringa,01/11/2022,15:36:16,Kerri.Green,01/11/2022,15:49:46,Aprovado
82,9571,"Roys,Castle",2293,502100000000005,FALHA_NO_TESTE_IMPRESSÃO(PRN),Fornecedor,7.0,Arlequina.Coringa,01/11/2022,15:39:15,Kerri.Green,01/11/2022,15:49:49,Aprovado
